id	title	status	format	bytes	path
bea	Beaver Mark	ok	usfm	50408	/home/ender/Projects/uberBible/source/ebible/bea/usfm
awk	Awabakal Luke	ok	usfm	68350	/home/ender/Projects/uberBible/source/ebible/awk/usfm
bla	Blackfoot Matthew	ok	usfm	67735	/home/ender/Projects/uberBible/source/ebible/bla/usfm
arp	Arapaho Luke	ok	usfm	66980	/home/ender/Projects/uberBible/source/ebible/arp/usfm
breBRG	Breton Gospels	ok	usfm	172949	/home/ender/Projects/uberBible/source/ebible/breBRG/usfm
arb-vd	Arabic Van Dyck Bible	ok	usfm	1744246	/home/ender/Projects/uberBible/source/ebible/arb-vd/usfm
mya	Burmese Common Language Bible	ok	usfm	2633581	/home/ender/Projects/uberBible/source/ebible/mya/usfm
cha	Chamorro Gospels, Acts, and Psalms	ok	usfm	285512	/home/ender/Projects/uberBible/source/ebible/cha/usfm
myajvb	Judson Burmese Bible	ok	usfm	2971368	/home/ender/Projects/uberBible/source/ebible/myajvb/usfm
cekak	Asang Khongca Bible	ok	usfm	1460310	/home/ender/Projects/uberBible/source/ebible/cekak/usfm
hltmcsb	Matupi Chin Standard Bible 2019	ok	usfm	3091212	/home/ender/Projects/uberBible/source/ebible/hltmcsb/usfm
hlt	Matupi Chin Standard Bible w/ Strongs	ok	usfm	2542957	/home/ender/Projects/uberBible/source/ebible/hlt/usfm
cmn-cu89s	Chinese Union Version (simplified)	ok	usfm	1429061	/home/ender/Projects/uberBible/source/ebible/cmn-cu89s/usfm
copbhc	Coptic Boharic NT	ok	usfm	438775	/home/ender/Projects/uberBible/source/ebible/copbhc/usfm
cmnswcb	World Chinese Bible	ok	usfm	1464377	/home/ender/Projects/uberBible/source/ebible/cmnswcb/usfm
copcnt	Coptic NT	ok	usfm	463058	/home/ender/Projects/uberBible/source/ebible/copcnt/usfm
cmn-cu89t	Chinese Union Version (traditional)	ok	usfm	1431737	/home/ender/Projects/uberBible/source/ebible/cmn-cu89t/usfm
hrv	Croatian Bible	ok	usfm	1606316	/home/ender/Projects/uberBible/source/ebible/hrv/usfm
dif	Dieri NT	ok	usfm	346840	/home/ender/Projects/uberBible/source/ebible/dif/usfm
ces1613	Czech Kralická Bible 1613	ok	usfm	1500276	/home/ender/Projects/uberBible/source/ebible/ces1613/usfm
nld	Dutch Bible 1917	ok	usfm	1475417	/home/ender/Projects/uberBible/source/ebible/nld/usfm
eng-asv	American Standard Version (1901)	ok	usfm	2875147	/home/ender/Projects/uberBible/source/ebible/eng-asv/usfm
eng-uk-lxx2012	British English Septuagint 2012	ok	usfm	1394911	/home/ender/Projects/uberBible/source/ebible/eng-uk-lxx2012/usfm
engBBE	Bible in Basic English	ok	usfm	2857395	/home/ender/Projects/uberBible/source/ebible/engBBE/usfm
engasvbt	ASV Byzantine Text	ok	usfm	3209390	/home/ender/Projects/uberBible/source/ebible/engasvbt/usfm
eng-Brenton	Brenton English Septuagint	ok	usfm	1442061	/home/ender/Projects/uberBible/source/ebible/eng-Brenton/usfm
engDBY	Darby Translation	ok	usfm	2797703	/home/ender/Projects/uberBible/source/ebible/engDBY/usfm
